,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID,Product_ID
489,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,195.0,52000.0,"4,9",19000.0,,2023-02-28,Rose,R,15,R15
490,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,295.0,85000.0,"4,9",31000.0,,2023-02-28,Rose,R,8,R8
491,[Mã COSCN12 giảm 8%] Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,66000.0,"4,9",24000.0,,2023-02-28,Rose,R,9,R9
492,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,153.0,55000.0,5,19000.0,15.0,2023-03-08,Rose,R,14,R14
493,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,165.75,52000.0,"4,9",19000.0,15.0,2023-03-08,Rose,R,15,R15
494,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước hoa hồng 140ml TẶNG Mặt nạ hoa hồng 30ml Cocoon,340.0,244.0,"4,9",73.0,,2023-03-08,Rose,R,6,R6
495,"[Mã COSCN12 giảm 8%] Combo làm sạch, cấp ẩm & phục hồi chuyên sâu từ hoa hồng Cocoon",803.25,197.0,"4,8",72.0,15.0,2023-03-08,Rose,R,13,R13
496,HÀNG TẶNG KHÔNG BÁN - Bigsize Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,345.0,485.0,5,219.0,,2023-03-08,Rose,R,2,R2
497,"SPECIAL COMBO làm sạch, cấp ẩm dịu nhẹ từ hoa hồng Cocoon - Tặng nước tẩy trang hoa hồng Cocoon 140ml",390.0,509.0,"4,9",210.0,,2023-03-08,Rose,R,5,R5
498,HÀNG TẶNG KHÔNG BÁN - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,226.0,5,81.0,,2023-03-08,Rose,R,3,R3
499,HÀNG TẶNG KHÔNG BÁN - Bigsize - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 100ml,385.0,11000.0,"4,9",443.0,,2023-03-08,Rose,R,1,R1
500,[Mã COSCN12 giảm 8%] Combo Nước hoa hồng 140ml + Mặt nạ hoa hồng 30ml Cocoon,274.55,250.0,5,90.0,15.0,2023-03-08,Rose,R,10,R10
501,[Mã COSCN12 giảm 8%] Combo cấp ẩm và phục hồi từ hoa hồng Cocoon,528.7,686.0,5,283.0,15.0,2023-03-08,Rose,R,12,R12
502,[Mã COSCN12 giảm 8%] Combo cấp ẩm cơ bản từ hoa hồng Cocoon,528.7,122.0,5,46.0,15.0,2023-03-08,Rose,R,11,R11
503,HÀNG TẶNG KHÔNG BÁN - Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,195.0,12000.0,"4,9",415.0,,2023-03-08,Rose,R,4,R4
504,[Mã COSCN12 giảm 8%] Nước hoa hồng (toner) Cocoon cấp ẩm & làm mềm da 140ml,165.75,127000.0,5,47000.0,15.0,2023-03-08,Rose,R,17,R17
