,Name,Price,Sales,Rating,Rating record,Discount(%),Date,Category,Ini_cat,Group_ID
1173,[DEAL 1 TẶNG 1 ĐỘC QUYỀN FLASH SALE] Nước hoa hồng 140ml TẶNG Mặt nạ hoa hồng 30ml Cocoon,340.0,267.0,"4,9",79.0,,2023-03-16,Rose,R,6
1174,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,153.0,56000.0,"4,9",19000.0,15.0,2023-03-16,Rose,R,14
1175,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,123.25,76000.0,5,31000.0,15.0,2023-03-16,Rose,R,16
1176,[Mã COSCN12 giảm 8%] Combo cấp ẩm cơ bản từ hoa hồng Cocoon,528.7,127.0,5,49.0,15.0,2023-03-16,Rose,R,11
1177,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,165.75,52000.0,"4,9",19000.0,15.0,2023-03-16,Rose,R,15
1178,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,250.75,87000.0,"4,9",32000.0,15.0,2023-03-16,Rose,R,8
1179,[Mã COSCN12 giảm 8%] Nước hoa hồng (toner) Cocoon cấp ẩm & làm mềm da 140ml,165.75,128000.0,5,47000.0,15.0,2023-03-16,Rose,R,17
1180,[Mã COSCN12 giảm 8%] Tinh chất hoa hồng (serum) Cocoon cấp ẩm & phục hồi da 30ml,225.25,39000.0,"4,9",14000.0,15.0,2023-03-16,Rose,R,20
1181,[Mã COSCN12 giảm 8%] Thạch hoa hồng dưỡng ẩm (kem dưỡng ẩm) Cocoon cấp ẩm & nuôi dưỡng 30ml,165.75,161000.0,5,66000.0,15.0,2023-03-16,Rose,R,19
1223,[Mã COSCN12 giảm 8%] Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 140ml,145.0,18000.0,"4,9",682.0,,2023-03-19,Rose,R,18
1224,[Mã COSCN12 giảm 8%] Bigsize - Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 100ml,345.0,21000.0,5,776.0,,2023-03-19,Rose,R,7
1225,[Mã COSCN12 giảm 8%] Bigsize - Nước tẩy trang hoa hồng Cocoon tẩy sạch makeup & cấp ẩm 500ml,295.0,87000.0,"4,9",32000.0,,2023-03-19,Rose,R,8
1226,[Mã COSCN12 giảm 8%] Dầu tẩy trang hoa hồng Cocoon tẩy sạch makeup chuyên nghiệp & dưỡng ẩm 140ml,180.0,57000.0,"4,9",19000.0,,2023-03-19,Rose,R,14
1227,[Mã COSCN12 giảm 8%] Mặt nạ hoa hồng Cocoon cấp ẩm & làm mềm da 30ml,145.0,76000.0,5,31000.0,,2023-03-19,Rose,R,16
1228,[Mã COSCN12 giảm 8%] Gel rửa mặt hoa hồng Cocoon làm sạch & cấp ẩm 140ml,195.0,52000.0,"4,9",19000.0,,2023-03-19,Rose,R,15
1229,[Mã COSCN12 giảm 8%] Tinh chất hoa hồng (serum) Cocoon cấp ẩm & phục hồi da 30ml,265.0,39000.0,"4,9",14000.0,,2023-03-19,Rose,R,20
